,Time Error [s],Whole trip time
0,-403.7703232555356,536
1,-369.0799529051442,1373
2,-308.7209778848746,1205
3,-530.1042912832268,994
4,-453.74366272208954,1265
5,-198.85840387060102,862
6,78.5649974640719,1345
7,-309.23295504709154,794
8,-368.7082753816285,826
9,-406.42187670968997,592
10,-313.5996631723267,1001
11,-572.4943268164889,883
12,-171.4928597470839,474
13,-319.2076904501114,977
14,-75.87896146112735,1577
15,-909.0207249709583,1226
16,-376.4967727450278,1083
17,745.6492676810171,2162
18,-156.68730452334376,1289
19,980.5566687078126,2159
20,-357.3429468431773,914
21,-244.13314282401586,747
22,-174.01970680277054,386
23,-371.12683999000296,727
24,-41.11493268491131,1246
25,-268.47077310314194,1040
26,-294.41458228534543,1288
27,-372.6721161880421,666
28,-472.879938899476,1154
29,-374.01380807627356,1080
30,-665.9529367343096,1117
31,-271.9761072984886,910
32,-391.5788052330911,847
33,-364.8800264109111,1367
34,-199.9617797190865,1083
35,-530.358263803372,772
36,-163.089698927467,1051
37,-455.9214480195144,1158
38,-314.341521517651,1286
39,-627.4398771459482,1092
40,-172.6596850556491,1025
41,-313.02514909382194,771
42,164.6678032510249,2251
43,-224.12683999000296,874
44,-285.3937960228027,834
45,-591.2598363086263,789
46,-252.03906375391523,372
47,-478.8027106752943,888
48,-115.79201302291699,943
49,-246.18885110846873,871
50,-380.23414034357165,917
51,95.0130517032996,555
52,-199.18560804574463,1553
53,-278.04423652683533,634
54,-362.2520052519494,689
55,-547.0148194384017,1048
56,-293.66023749261694,608
57,-379.3730696305472,845
58,-388.3222080154967,641
59,8.64712641343067,1656
60,-188.8100389474564,1111
61,-731.5818299656971,965
62,-333.1591213400259,712
63,-420.1670053075932,868
64,-382.6182529013611,1196
65,-84.19178756144174,1030
66,-466.62895219850043,1066
67,440.10758072774297,1431
68,-167.74286585300035,731
69,-350.0636249911963,1241
70,53.14720476349214,944
71,-285.3683162213814,621
72,-200.09215634364068,1095
73,18.238397943230666,559
74,-399.6469001821474,873
75,-58.7985508350157,1083
76,819.1995452973018,1706
77,-311.66890475534547,963
78,-304.877052391896,710
79,-414.28592704823404,797
80,-365.62458288218477,888
81,-516.0623271525899,718
82,28.288248326821076,1468
83,-308.21099379651537,863
84,-428.47212633997583,664
85,68.78449412470943,182
86,-673.7189573445971,1560
87,-150.3568002507859,1099
88,-381.00191955467903,1084
89,-519.6308211451269,907
90,-400.21449603405085,840
91,-361.64860389306637,950
92,115.76478998938433,1416
