Plate,MAPE original route,RMSE original route,MAPE Dijk route,RMSE Dijk route,Similarity
110JG,1.7692393823482513,21515.419623303533,1.0513043085571663,14701.636443051282,0.8507758198999404
111IZ,2.454713816157885,11845.359283372956,0.9970434561516388,6051.327024450328,0.6594017454453769
125KK,2.5615328496074654,21726.07483666903,1.5792460857257158,17107.8190397411,0.7269235586296241
171LF,4.1896066127986895,20792.462721915716,1.2376665596917487,6760.298333777368,0.5493538791242736
278JI,2.207667806675422,11095.630368774471,1.1553969134211397,6057.794978442544,0.41919014133431753
417IZ,1.5269035432167672,27715.60194036145,1.3579592624021695,26085.016902303738,0.9986501679896433
440HY,3.8849568350576,25727.726848435763,1.2206786064779531,9269.611315974164,0.557883601567568
445LI,1.6265151868232441,16856.04027948985,1.2621526613974732,14700.46326043511,0.5173438525206459
471IH,2.450173428434639,15294.880313402431,1.1642707318053525,7636.416655303922,0.6368248974850647
580IZ,1.3706689644260042,25582.83269089326,0.8036609694500455,15432.703783226942,0.7759593513381969
624KK,1.2936608889755505,8208.758018678134,0.9051089409962961,6790.389297007037,0.8419393071247601
724HU,1.6224603703374125,14282.201906851016,1.1878936060530636,10759.426053811228,0.8078743722492715
761GV,1.1586435945483025,4688.256222932073,1.0051263537717383,4984.231717261848,0.9395436393450441
796ES,3.255135107048254,12033.475459332527,1.5394280712747626,5992.406197868834,0.6373083766275535
853KK,1.3193229499587895,20585.286849086722,0.7700043068308214,12853.96676584652,0.6244333293079032
