,Time Error [s]
0,-938.9440753994961
1,-200.44627604787684
2,-513.2919082435715
3,-1498.1109539330114
4,-610.5452317798147
5,-442.1497673164797
6,-1575.8258793061455
7,-1394.4388689607517
8,-642.9213181110238
9,-1284.02785191041
10,-1253.3213829291344
11,-441.44627604787684
12,-1200.3208274465107
13,-2004.6172918204043
14,-631.4633520948391
15,-1571.1329002522302
16,-485.0603168078594
17,-1162.177435046929
18,-601.9922061029717
19,-1148.3703882019017
20,-1246.573230767964
21,-1156.8896473290574
22,-1802.8258793061455
23,-1097.0145945122165
24,-558.6941204822006
25,-1770.196392152046
26,-422.10683111874073
27,-1237.6992056287338
28,-1396.3169428692463
29,-528.5337079228177
30,-1038.1591595801056
31,-1254.998958952604
32,-1333.6106115038397
33,-1335.7827013057913
34,-1157.8385370805881
35,-616.1684642114417
36,-1056.5856535845337
37,-437.1563210178397
38,-645.6504113831172
39,-1925.6971069823298
40,-1337.3486681159375
41,-662.1792097808104
42,-933.9711770968602
43,467.81498139702853
44,-641.8140273692472
45,-1418.6412074569607
46,-969.3557196104348
47,-719.2190226081323
48,-791.4246816953171
49,-1496.6604377148637
50,-655.2786207343759
51,-1252.5463185267663
52,-296.93804554013605
53,-1275.975679629048
54,-561.8599215923305
55,-1165.177435046929
56,-522.4943850782281
57,-791.0663774770237
58,-561.2141629617058
59,-499.44627604787684
60,-1292.20085287358
61,-491.94627604787684
62,-780.9028146081951
63,-1059.6909160551213
64,-1899.28561535868
65,-1339.5656486199
66,-536.2304290893198
67,-754.9654258590419
68,-1325.3110631510158
69,-1059.3160899119457
70,-898.9569875585885
71,-886.0823763223409
72,-798.7557196104349
73,-329.4787628678728
74,-551.260921654306
75,-820.609684637009
76,-1646.538868960753
77,-268.01986318159516
78,-1045.9059076710873
79,-238.18187774254784
80,-1196.452950775678
81,-1326.3486681159375
82,-575.3842639425357
83,-1323.1974020023808
84,-373.09811198911666
85,-1275.4143339588527
86,-1273.0552652660308
87,-475.44624499133033
88,-1591.6397821415649
89,-420.37762252928565
90,-739.2752766400918
91,-880.7194989547111
92,-1246.8313931536322
93,-1331.5079002522302
94,-429.0574196809923
95,-642.9866285705968
96,-316.5297207291301
97,-1118.4486681159374
98,-939.3047240997478
99,-932.7357388942899
100,-1453.0208231639558
101,-677.6473282372733
102,-653.5162675434633
103,-852.0257654622842
104,-524.3948763223411
105,-895.1933993190821
106,-1033.562332296724
107,-893.5011052056473
108,-777.4327972040078
109,-293.0079618086197
110,-634.6473282372733
111,-1646.6397821415649
112,-1086.1203497750596
113,-892.2437217942897
114,-1096.8482760223014
115,-715.3773306209469
116,-1043.5267326524154
117,-1725.1809828663845
118,-596.3773306209469
119,-486.6027608374932
120,-427.18501860297147
121,-1098.8385370805881
122,-493.02624255278215
123,-953.209834132118
124,-1410.1974020023808
125,-680.1346490558594
126,-659.9291657204917
127,-1561.0481015283672
128,-534.6949227477548
129,-758.2141629617058
130,-1256.0142412012874
131,-767.3948763223411
132,-746.4499169015803
133,-1206.9680538291077
134,-1592.196392152046
135,-1126.689175669624
136,-502.44627604787684
137,-11.974308198822769
138,-696.4198263438448
139,-1213.8601775830743
140,-962.9344404736612
141,-1400.7799936092983
142,-574.9714376982035
143,-1161.1403730940185
144,-1952.8367442658105
145,-666.7455285034912
146,-345.10683111874073
147,-727.5844253685175
148,-671.2171848885378
149,-747.2242919681207
150,-484.6789666557329
151,-352.0776225292857
152,-854.4006796290496
153,-1174.3486681159375
154,-987.0437925913357
155,-559.5949937383396
156,-505.71605864608387
157,-581.1670352003732
158,-1185.360533006386
159,-645.3119568384966
160,-924.9711770968602
161,-875.1550882234333
162,-1143.4957601258043
163,-1431.689175669624
164,-695.6330210093365
165,-1165.743964283185
166,-678.0995961496683
167,-769.7357388942899
168,-1310.9680754299848
169,-528.4170352003732
170,-592.3401367122149
171,-1045.7511052056475
172,-84.7592653332033
173,-997.5989074108211
174,-1339.7426219722047
175,-369.6780355902574
176,-1442.998958952604
177,-533.4462449913303
178,-1086.3388315265042
179,-461.0776225292857
