,Time Error [s]
0,-710.5504166149944
1,-1741.7631301330166
2,-2189.403820873383
3,1832.102962079624
4,-1286.1307104419022
5,-146.06324997787033
6,-251.27893522963177
7,-499.1957257659542
8,-347.54158924157036
9,-275.37332440803766
10,-942.6893516149871
11,-550.8081726632677
12,-1568.6192674529575
13,-1934.0614609183253
14,-679.6704885882937
15,-590.4394776525219
16,-2434.5173105916047
17,-1226.404798857709
18,20.81162789076211
19,-1566.076472490458
20,-1124.3947078919177
21,-456.57642498398263
22,-1792.426495069738
23,-529.2812224803164
24,-847.971408965796
25,-129.22890346640418
26,-1994.3413261941482
27,-719.4364111351647
28,401.18204931906257
29,477.4532078198729
30,-670.1340643070811
31,-1034.445966326159
32,-950.3833866872696
33,-481.46859434769624
34,-878.324464937029
35,-1013.8870874133572
36,-490.9966526943783
37,-901.1727996024156
38,-989.2591861428923
39,-428.70722968155894
40,40.20974268360112
41,-769.650849081137
42,-614.6725317472919
43,-1004.6954302158433
44,-384.8822778067589
45,-170.9745047159347
46,-546.3939299692586
47,-136.7897637886848
48,-664.5054316148754
49,-1842.5719310297081
50,-127.10585821171014
51,-802.2778544139876
52,194.84276343494278
53,-1009.1554076423763
54,-254.31327951350397
55,-520.5799988547783
56,-634.2753228093903
57,-280.4464462759885
58,-3572.6916230372535
59,-1130.7674301573838
60,-1052.1910715557813
61,-40.90459235706828
62,-1416.768027347179
63,-929.4819334501926
64,-1341.2211265156086
65,-743.9641425071907
66,-425.83399699651
67,-203.1307825949507
68,-866.9908377732947
69,-254.37512680812068
70,-482.62690965970444
71,-837.7846036800875
72,-278.9101475018381
73,-1676.44880516388
74,-111.66733849377295
75,-59.27285355891439
76,-166.74080323981445
77,-546.8817065461494
78,-534.2094769579646
79,-857.4484885761178
80,-460.020211048442
81,-386.6063435685302
82,-879.960513705324
83,-1013.3173855184073
84,-1090.4771021975348
85,-306.55579403861145
86,-1278.8832168853805
87,317.6374371807064
88,-233.43389054266333
89,-116.93591438693221
90,-624.4929260179931
91,-1044.611518422475
92,-278.35941701352726
93,-467.9344702938878
94,-790.0828816130545
95,-741.5325721655363
96,-509.5229887256361
97,-403.6132921071086
98,-1149.2211265156086
99,-638.9585271094209
100,-1088.5108695578779
101,-659.5462805596208
102,-827.506412234872
103,-1144.957728477855
104,-566.3074341160262
105,-1154.1500262796208
106,-1350.1803907216186
107,-763.6544207275294
108,-805.3796456162718
109,-366.34431463724025
110,-1353.316207382451
111,62.24176872398181
112,-443.2039909749765
113,-721.5270780417267
114,-319.72672664792344
115,-585.650849081137
116,154.47230540610724
117,-746.8633635656533
118,-8.0
119,-879.9160413678871
120,-180.2117363516536
121,-1238.7222749710575
122,-38.60934535396024
123,-1627.6888098715033
124,-666.7874060279901
125,-505.47831682109813
126,-592.4228259296108
127,-563.122959469474
128,-752.2153944879199
129,-607.4176155473979
130,-1020.4002040045409
131,-529.4965093340544
132,-547.5459274706653
133,-274.7635640422375
134,-10.419766529506887
135,-378.20632039414426
136,-60.66060589990843
137,-637.642681491915
138,-554.867276495451
139,746.7155797007697
140,-235.08523485509477
141,-598.1929881675649
142,1.8173274488854076
143,-968.6402998137921
144,-242.05138166510608
145,-605.4807298235517
146,-599.5337416594452
147,650.5618602214834
148,-125.85941701352726
149,-459.1176320127397
150,-725.602551827875
151,-422.87152792124505
152,-764.478704355457
153,-310.9267673040707
154,46.32730674345163
155,-1189.1307104419022
156,-772.3462840424986
157,-409.3542137958294
158,-671.8858505853326
159,-1095.701118025616
160,-114.1097496757339
161,-272.1920672968398
162,-544.3117473416546
163,-747.5262704735742
164,-1443.5419942803646
165,-665.2749075948414
166,-410.7214253905977
167,-672.2971062212273
168,-238.1584306531928
169,-529.3630483734064
170,-589.4316798095266
171,-585.4653044221554
172,-1224.015461253793
173,-162.16068255185053
174,46.69333066671777
175,-417.4484793965722
176,-1200.3312210992099
177,-343.31111405513946
178,-502.48288667952556
179,-176.00983935492127
180,-1790.8839848213097
181,53.822272730568784
182,-812.4250973439082
183,-172.7737448711988
184,-284.8104511356994
185,-2006.4057750108982
186,-816.7546315064983
187,-763.0175176888922
188,1286.7208855344077
189,-978.4893537934954
190,-429.21820383077375
191,-971.0334973074466
192,-253.479469654696
193,-587.2725250867446
194,-835.5163378436102
195,-1353.4037116674344
196,-667.4250973439082
197,-591.5252111035325
198,-94.02911298000066
199,-29.35638801923892
200,-305.88217564270485
201,-1110.1532875111552
202,-395.8378542451653
203,-371.3796456162718
204,-428.52510163916315
205,-989.7802878521713
206,-133.0123804552309
207,636.7614039602521
208,-1477.5446863076659
209,-254.249625039875
210,-1173.3788572632247
211,-803.7398048914283
212,-888.5848129395092
213,-643.9719300142469
214,-218.03845664025562
215,-1391.5770019897368
216,-348.81337234632815
217,-993.1301309259354
218,-594.0571953100573
219,-1227.9628215730509
220,-247.2665110910026
221,-982.4071424055317
222,-572.8277382126082
223,-285.46952296812356
224,-655.4795078117616
225,-628.454577226835
226,-661.6465825401242
227,-318.2990881094771
228,19.879530578369838
229,-703.9786007972366
230,-704.236698838502
231,-501.4699656187631
232,-191.71228258692815
233,-1481.494573192179
234,-465.7128051384426
235,-711.0969669842075
236,-2407.293483555864
237,-735.7545960410432
238,-2360.882941501187
239,260.49121760242593
240,-222.68852081821933
241,-912.2402566876483
242,57.24926580390786
243,-417.76035399329305
244,-1032.6141500003669
245,-432.1968715376138
246,-507.7415686742545
247,-712.0962463832916
248,-1087.5314444130563
249,-682.5773788173082
250,-1711.112891879835
251,-1091.2260098041038
252,-984.3772098316617
253,-1054.793739172841
254,-829.6973736449845
255,29.692869071123823
256,-938.8071340413246
257,-855.6185715884747
258,-734.9005902447622
259,-367.36581746172783
260,-1730.973539782035
261,-35.9839574364334
262,-625.7817732333954
263,-583.5784382775339
264,-349.0057952780263
265,-449.8200510584886
266,-285.84931407905765
267,-1837.7352266509542
268,-203.48374363378468
269,-715.915638837092
270,-876.6799175266635
271,-1149.2689082459538
272,-644.1563062589693
273,-59.778978682281036
274,-2514.7924418058005
275,-1168.5138059468818
276,-947.4669259627958
277,-894.6376438606417
278,-237.61738997048406
279,-722.8567420644638
280,-1048.5267249118187
281,-72.9195898869441
282,-669.6255346761159
283,-1542.0093118264267
284,-2064.0297892881354
285,-842.5580648657258
286,10.463091165068647
287,-457.5486607919329
288,-870.412076485592
289,-871.4935001622041
290,-326.06627863660094
291,-773.9479506936239
292,-368.581245090042
293,-348.2102431698403
294,-1261.5056973009541
295,-646.8476044765393
296,-179.4035794012732
297,-666.7309575479758
298,-366.8727917424819
299,-533.377631738941
300,-1390.680532574946
301,-655.2076158242644
302,-1015.6284020323428
303,-1639.8509156235068
