Plate,MAPE original route,RMSE original route,MAPE Dijk route,RMSE Dijk route,Similarity
110JG,1.5918489673274694,9623.23191088919,0.9430441740100893,6803.1126548827015,0.8426161581444949
111IZ,1.6018940635991552,6864.041263616113,0.7146300449906402,3913.22496312247,0.785126429862879
125KK,1.5837510585452996,14791.532601799068,0.9926637364982502,11972.918479753062,0.8162196311591315
171LF,2.4743606603292925,13836.12136889294,0.8329836503917915,3654.594913085826,0.5130292294855523
278JI,2.0765177384174365,6661.635779171474,0.8634954936572508,3373.8184595382495,0.46844044436568777
417IZ,0.955009596657876,7668.609580429974,0.6170838702722173,5834.464750280071,0.9055177946568982
440HY,2.619218430901191,17712.698536574695,0.8396119203022745,6313.4439546030635,0.5359496960661767
445LI,1.4619743675876102,8627.278456390723,1.0251281400865828,6948.182641015112,0.7927298534925702
471IH,2.554935255395788,16628.47821753706,0.7079633134247824,4593.855796996508,0.5793674122832427
580IZ,1.135736047188324,8468.656936058174,0.678721700216314,5902.697630961056,0.9604361805637177
624KK,1.2880207473899197,5915.498103921293,0.7598211132094354,3621.0890720116677,0.8461490947429537
724HU,1.2770401314258477,4995.9517950826885,0.7038089246721669,2984.0986067874014,0.8765784127563342
761GV,1.2605186896023302,3699.310690739093,0.7500310371615831,2339.9559788004917,0.8571094600290423
796ES,1.7245043290440987,6460.40327704671,0.514075796750149,1136.069685198524,0.6522444743349242
853KK,1.4057019273947982,11258.65044870504,0.734813628114274,6247.890202285218,0.7400653681898617
