,Time Error [s]
0,-524.8589188493777
1,-2386.9309875321733
2,-964.6645759487424
3,-550.8508688202301
4,-606.0504051461107
5,-733.8804263956774
6,-1198.6039477888874
7,-490.70337015011273
8,-1045.561305371077
9,-657.8917509190089
10,-817.0613742358269
11,-647.791696227137
12,-767.2531527287406
13,-809.6780631318989
14,-422.99879692113336
15,-698.9614956106543
16,-401.03839638994964
17,-665.8621314737331
18,-973.8749460853587
19,-657.590009511167
20,-716.740035750976
21,-994.6766037239711
22,-745.1203371804868
23,-700.4527264416142
24,-893.2863859909689
25,-645.9549082565682
26,-1333.50602663066
27,-738.8972893981211
28,-656.80615378672
29,-599.1682769221286
30,-603.3220151025487
31,-735.6099242184771
32,-527.8917509190089
33,-720.4317694473164
34,-442.93639021726153
35,-479.1793887202282
36,-1088.2157152902635
37,-196.07774130104815
38,-121.21535596372047
39,-568.3953832637096
40,-539.7355418255856
41,-563.2712207057834
42,-426.6158169168066
43,-909.1126168067153
44,-1201.1452655568937
45,-575.5080917509956
46,-574.4997165811312
47,-153.27085848312333
48,12.185127828725285
49,-592.2909149553204
50,-497.10229228110586
51,-767.7715052899614
52,-570.5450839094287
53,-465.3927663433931
54,-926.5789453681043
55,-600.8524827672165
56,53.03801296379703
57,-858.1242715012047
58,-629.3271521540366
59,-998.8099337728713
60,-975.4188839990661
61,-486.2388775840002
62,-839.1249699491907
63,-826.5853066837999
64,-977.2633541702176
65,-689.8104208429527
66,927.5447711123529
67,-513.7013162615199
68,-782.1804550061399
69,-1037.4056371445995
70,-467.26981853283837
71,-378.35841179137515
72,-1351.0579383049449
73,-562.9477418120428
74,-1167.2324535367266
75,-1125.4314245527007
76,-479.21823395064916
77,-594.600587971215
78,-1009.2667916468024
79,-491.9870679199669
80,-1052.814362586023
81,-749.440955674741
82,-658.657293806494
83,-563.4016254684891
84,-817.2224012108961
85,-429.61779235009726
86,-335.6274945421435
87,-19.852273565459654
88,-246.0433564677843
89,-85.17948717948718
90,-1108.1888468661978
91,-799.1784978088849
92,-722.0528022098861
93,-646.3948048288744
94,-336.7006273679601
95,-1375.5937182636849
96,-383.32677626133886
97,122.47089015249628
98,-926.7389706602203
99,-1138.1155904142663
100,-637.1417320892508
101,-656.9742802633543
102,-871.8658007815277
103,119.73724474174371
104,-1073.24840622243
105,-452.28583056085745
106,-561.4125301032398
107,-663.144540201472
108,-142.53883308441624
109,-592.5662860734883
110,162.22362464272908
111,-1265.8591770731587
112,-439.87461685785206
113,121.40193495635424
114,-81.32739091262124
115,-419.0564724538783
116,-1511.0105118098695
117,-648.3373526200642
118,408.36793872252275
119,-1884.517455267025
120,-476.07429389643494
121,-53.87918631342245
122,-1245.0887280262723
123,-1869.3249807992538
124,113.65196797566875
125,-251.4097541620224
126,-86.4822479083964
127,-375.93921958525266
128,-322.26294663884266
129,160.36320993287876
130,-1673.4193304153105
131,-842.3969224317909
132,-666.7007634731187
133,-135.1290630626579
134,-1285.5867608598314
135,-448.30687997889027
136,-590.8857574838155
137,-2427.5238444365814
138,-143.84870338353835
139,4.263095687201769
140,70.91895506120227
141,-421.6369032291575
142,-496.22039175798363
143,-572.724198143103
144,-321.4000790764327
145,-347.1290630626579
146,35.67989641880621
147,-1397.465047949756
148,26.981168539964358
149,-578.1591512436232
150,-666.4757537702054
151,-336.98288530632647
152,-530.1069751888479
153,-531.0404784205609
154,-220.88825080770152
155,-498.8525166777031
156,-371.3308186356146
157,-1200.5846675795738
158,-147.74366047789044
159,-1935.2558532565035
160,-211.77133672705696
161,-538.0118714266937
162,-235.81363172131648
163,-35.5092612654264
164,88.91425910864729
165,-315.7338377617368
166,-624.3552162580368
167,-169.78036862468912
168,-175.51821500033435
169,-193.02404354480677
170,41.74984115522119
171,-193.74293670740815
172,-731.7151509849664
173,-164.71981338566638
174,-442.2854478128761
175,-1291.6629134787909
176,259.48111239454227
177,-227.71209482471818
178,-243.67489236977315
179,-114.31759646975661
180,-691.4722520299222
181,-475.01591966208343
182,-846.9878680133604
183,-360.8415688090199
184,-3.644680499457195
185,-332.10842379576286
186,-40.69968383413203
187,-701.5654129115242
188,-982.4195305014703
189,-319.4237322106858
190,472.10554305590597
191,-2829.1872945904115
192,-2465.37216605676
193,-2804.395638106482
194,-110.49651058045657
195,-2346.869421236651
196,-494.19429666679457
197,-578.0161441339297
198,617.5195320538686
199,-1562.3660827131416
200,-2436.0444374475537
201,-1485.468847427257
202,-2568.7291384156642
203,-2113.8589863462153
204,58.459802761524365
205,-825.0369456833309
206,-287.156442255427
207,-1843.2597051057965
208,-312.9911093411994
209,-2864.427202386946
210,-498.43540231166276
211,-1672.9804848088365
212,-2525.06020299143
213,-2538.1872945904115
214,-964.3189855562077
215,-1230.1710929238334
216,-229.1208270548011
217,-2869.077343887516
218,-2209.7974849533234
219,-1783.3838283196305
220,-418.94833630379287
221,-861.8010406100063
222,-1589.3449874452767
223,-2235.0046016574297
224,-401.83166464063834
225,-2366.742830756023
226,-1635.8697153571038
227,84.5749090320096
228,-622.2974263674864
229,-2370.8328923791346
230,-214.25578326130312
231,-2367.158228495041
232,-1193.56984677246
233,-966.8977618974941
234,-339.59604015649415
235,-451.7747074019468
236,-2149.9534882589905
237,-449.2331063238687
238,-3119.294329932938
239,-604.31133241323
240,-2994.3417919526346
241,-486.623964515617
242,-2843.6982048461314
243,-1055.5238819359042
244,-1205.4207322799107
245,-1555.567658979085
246,-1158.8283483982275
247,-3229.946712446116
248,-2175.7746529362653
249,-2513.0278347886765
250,-33.747816503038166
251,-495.0875418877721
252,195.71574023130847
253,-2010.3833862017168
254,-197.99147468587432
255,13.716051876024792
256,-623.6851722507481
257,-1455.3627566171804
258,-2068.8371921750145
259,-1274.9683170233798
260,-253.36450425269766
261,-376.61852571183454
262,-420.4294839221785
263,-1554.7219744452736
264,-611.3176822873097
265,-169.38963163567416
266,-1960.715078157713
267,-686.6331124208159
268,-1980.3954622220476
269,-172.65909226107942
270,216.88402753848243
271,-1916.506614748008
272,-2502.629450305782
273,-631.9818887798397
274,-209.12303651388788
275,-473.48239439354234
276,-2447.7815381794653
277,109.29330868987103
278,-1717.5244499394844
279,-2003.7684835170153
280,-750.5707673908885
281,-1556.2931273414015
282,-974.9041260955132
283,-1776.427591908276
284,-241.3793498808925
285,-1070.308388300494
286,-1061.57967020982
