,Time Error [s]
0,-551.3436732270708
1,-497.48196674315955
2,-376.612081643525
3,-669.9842448910597
4,-645.0462257372972
5,-402.4971497216643
6,135.1187574093692
7,-426.8406552810145
8,-464.5042747352579
9,-504.7735411422368
10,-453.963720117956
11,-745.0817582241414
12,-189.15733112329804
13,-571.3021352720652
14,-221.1846294890297
15,-1266.4109072103047
16,-478.31376874382795
17,722.2202127196297
18,-179.0550715464624
19,840.929206859493
20,-397.45896641735453
21,-309.84221182945487
22,-231.2508824195412
23,-462.9620099926881
24,-252.66446703459746
25,-440.81371737783206
26,-327.71382805369126
27,-573.4557492428432
28,-578.1869552257276
29,-636.9083847426589
30,-730.8200052376196
31,-350.3921178549772
32,-418.75602981693805
33,-472.1827336645986
34,-329.4393274329477
35,-495.5475818687437
36,-304.3324483579454
37,-518.3030506398034
38,-316.1507900010115
39,-804.536041022126
40,-293.6396070823705
41,-420.8406161746443
42,27.433810552049636
43,-324.9620099926881
44,-377.27668871531364
45,-681.0741291200875
46,-260.5456307008302
47,-579.2108724840991
48,-211.62613280883306
49,-297.944785732069
50,-345.9150012839177
51,-34.31918223340074
52,-401.6995614601035
53,-317.0741108636705
54,-491.04934533175583
55,-627.8776361663406
56,-366.6855510956383
57,-401.4179474148086
58,-489.4092367399942
59,-28.69717514691365
60,-254.79240127391245
61,-823.9547379782773
62,-417.9871164130525
63,-491.60321128840883
64,-453.4348183054983
65,-91.59332099888297
66,-488.2226996117754
67,420.2563054148195
68,-235.07366369200054
69,-570.2036361561677
70,10.00291569098431
71,-319.8156765721676
72,-406.02369157177577
73,-27.392757037538445
74,-445.86694283905604
75,-137.68695536703285
76,-335.87039328501805
77,-429.2711095276918
78,-460.41454962519697
79,-486.04948802276203
80,-441.31742240737026
81,-729.636033582037
82,-181.7002032961327
83,-417.47090416503124
84,-547.8472803082639
85,3.9039399694188575
86,-780.3518870699054
87,-167.59397519940353
88,-372.1574896924303
89,-803.0140193342586
90,-572.9055503681016
91,-438.6799919041325
92,-73.12115825485125
93,-569.2952740152014
94,-547.0062138848989
95,-826.7166964464468
96,-404.22725857810156
97,-263.04134870929647
98,-486.7766132457855
99,-445.68367510288635
100,-381.0077538068772
101,-110.12099124197744
102,-351.48252891215725
103,-641.3126044767946
104,-412.58578160758134
105,-417.7899008843676
106,-617.9317167361116
107,-392.81038499216515
108,-282.69042804215746
109,-506.6006679237498
110,-296.23958021883004
111,8.489514734529166
112,-639.377509841537
113,-707.4242741774856
114,-464.7127195762919
115,-245.04143884326277
116,-161.11065295767537
117,-492.2373235994105
118,-768.5662427186951
119,-599.7928731738184
120,-428.4904929754998
121,-305.5259091122864
122,-336.29621914634345
123,-430.0019597344842
124,-388.52486895586503
125,-363.10530015555526
126,-211.44971083287635
127,-429.5091987407109
128,130.99416817524673
